state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_census2011_code,state_or_ut
28,Andhra Pradesh,28.0,753,Annamayya,0.0,5372,Kambhamvaripalle,5372.0,S
12,Arunachal Pradesh,12.0,242,West Kameng,246.0,6567,Kamengbari Doimara Circle,0.0,S
33,Tamil Nadu,33.0,583,Ramanathapuram,626.0,5858,Kamuthi,5858.0,S
28,Andhra Pradesh,28.0,515,Sri Potti Sriramulu Nellore,550.0,5148,Kandukuru,5148.0,S
28,Andhra Pradesh,28.0,502,Ananthapuramu,553.0,5306,Kanekal,5306.0,S
14,Manipur,14.0,712,Kangpokpi,0.0,1861,Kangpokpi,1861.0,S
2,Himachal Pradesh,2.0,18,Kangra,24.0,100,Kangra,100.0,S
20,Jharkhand,20.0,323,Chatra,347.0,2519,Kanha Chatti,2519.0,S
19,West Bengal,19.0,704,Paschim Bardhaman,0.0,2275,Kanksa,2275.0,S
36,Telangana,0.0,720,Mulugu,0.0,6251,Kannaigudem,0.0,S
21,Odisha,21.0,349,Boudh,391.0,3127,Kantamal,3127.0,S
12,Arunachal Pradesh,12.0,229,Changlang,253.0,6608,Kantang Circle,0.0,S
7,Delhi,7.0,84,South West,97.0,6085,Kapeshera,0.0,U
23,Madhya Pradesh,23.0,431,Sheopur,418.0,3384,Karahal,3384.0,S
19,West Bengal,19.0,311,Uttar Dinajpur,330.0,2195,Karandighi,2195.0,S
8,Rajasthan,8.0,108,Karauli,107.0,523,Karauli,523.0,S
28,Andhra Pradesh,28.0,751,Palnadu,0.0,5046,Karempudi,5046.0,S
37,Ladakh,0.0,6,Kargil,4.0,13,Kargil,13.0,U
18,Assam,18.0,293,Karimganj,317.0,2101,Karimganj,2101.0,S
36,Telangana,0.0,508,Karimnagar,534.0,4428,Karimnagar Rural,4428.0,S
29,Karnataka,29.0,549,Udupi,569.0,5524,Karkal,5524.0,S
1,Jammu And Kashmir,1.0,8,Kupwara,1.0,3,Karnah,3.0,U
7,Delhi,7.0,77,Central,95.0,447,Karol Bagh,447.0,U
22,Chhattisgarh,22.0,374,Bastar,414.0,7344,Karpawand,0.0,S
32,Kerala,32.0,559,Kollam,600.0,5684,Karunagappally,5684.0,S
29,Karnataka,29.0,550,Uttara Kannada,563.0,5478,Karwar,5478.0,S
10,Bihar,10.0,214,Purnia,211.0,1135,Kasba,1135.0,S
9,Uttar Pradesh,9.0,633,Kasganj,202.0,1010,Kasganj,1010.0,S
10,Bihar,10.0,210,Nawada,237.0,1514,Kashi Chak,1514.0,S
5,Uttarakhand,5.0,56,Udam Singh Nagar,67.0,346,Kashipur,346.0,S
20,Jharkhand,20.0,322,Bokaro,355.0,2593,Kasmar,2593.0,S
21,Odisha,21.0,371,Sambalpur,372.0,2783,Katarbaga,2783.0,S
20,Jharkhand,20.0,326,Dumka,362.0,2670,Kathikund,2670.0,S
18,Assam,18.0,282,Cachar,316.0,2096,Katigora,2096.0,S
20,Jharkhand,20.0,332,Hazaribagh,360.0,2654,Katkamsandi,2654.0,S
33,Tamil Nadu,33.0,570,Cuddalore,617.0,5792,Kattumannarkoil,5792.0,S
22,Chhattisgarh,22.0,760,Manendragarh-Chirmiri-Bharatpur(M C B),0.0,7269,Kelhari,0.0,S
1,Jammu And Kashmir,1.0,625,Shopian,13.0,6091,Keller,0.0,U
23,Madhya Pradesh,23.0,428,Seoni,456.0,3663,Keolari,3663.0,S
1,Jammu And Kashmir,1.0,8,Kupwara,1.0,6782,Keran,0.0,U
20,Jharkhand,20.0,342,Simdega,367.0,2721,Kersai,2721.0,S
19,West Bengal,19.0,318,Paschim Medinipur,344.0,2466,Keshiary,2466.0,S
36,Telangana,0.0,514,Nalgonda,539.0,4637,Kethepally,4637.0,S
19,West Bengal,19.0,306,Purba Bardhaman,335.0,2280,Ketugram - II,2280.0,S
23,Madhya Pradesh,23.0,435,Ujjain,435.0,3508,Khacharod,3508.0,S
9,Uttar Pradesh,9.0,160,Kushinagar,189.0,6878,Khadda,0.0,S
9,Uttar Pradesh,9.0,142,Fatehpur,172.0,879,Khaga,879.0,S
21,Odisha,21.0,346,Baleshwar,377.0,2906,Khaira,2906.0,S
36,Telangana,0.0,507,Hyderabad,536.0,4505,Khairatabad,4505.0,S
37,Ladakh,0.0,9,Leh Ladakh,3.0,12,Khaltsi,12.0,U
36,Telangana,0.0,509,Khammam,541.0,6326,Khammam Urban,0.0,S
19,West Bengal,19.0,306,Purba Bardhaman,335.0,2297,Khandaghosh,2297.0,S
1,Jammu And Kashmir,1.0,13,Srinagar,10.0,6801,Khanyar,0.0,U
19,West Bengal,19.0,318,Paschim Medinipur,344.0,2461,Kharagpur - II,2461.0,S
19,West Bengal,19.0,309,Darjeeling,327.0,2165,Kharibari,2165.0,S
10,Bihar,10.0,192,Bhagalpur,224.0,1331,Kharik,1331.0,S
17,Meghalaya,17.0,274,East Khasi Hills,298.0,1992,Khatarshnong Laitkroh,1992.0,S
9,Uttar Pradesh,9.0,172,Muzaffarnagar,133.0,710,Khatauli,710.0,S
27,Maharashtra,27.0,494,Satara,527.0,4260,Khatav,4260.0,S
19,West Bengal,19.0,305,Bankura,339.0,2373,Khatra,2373.0,S
1,Jammu And Kashmir,1.0,12,Rajouri,6.0,6771,Khawas,0.0,U
15,Mizoram,15.0,262,Champhai,284.0,1909,Khawbung,1909.0,S
20,Jharkhand,20.0,339,Ranchi,364.0,2683,Khelari,2683.0,S
19,West Bengal,19.0,307,Birbhum,334.0,2267,Khoyrasol,2267.0,S
10,Bihar,10.0,191,Begusarai,222.0,1304,Khudabandpur,1304.0,S
27,Maharashtra,27.0,469,Chhatrapati Sambhajinagar,515.0,4138,Khuldabad,4138.0,S
23,Madhya Pradesh,23.0,425,Sagar,427.0,3444,Khurai,3444.0,S
33,Tamil Nadu,33.0,569,Coimbatore,632.0,5956,Kinathukadavu,0.0,S
10,Bihar,10.0,195,Darbhanga,215.0,1195,Kiratpur,1195.0,S
